log_death_rate,State,Deep_Pov_All,PovertyAllAgesPct,PerCapitaInc,UnempRate2019,PctEmpFIRE,PctEmpConstruction,PctEmpTrans,PctEmpMining,PctEmpTrade,PctEmpInformation,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PopDensity2010,OwnHomePct,Age65AndOlderPct2010,TotalPop25Plus,Under18Pct2010,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,ForeignBornPct,Net_International_Migration_Rate_2010_2019,NetMigrationRate1019,NaturalChangeRate1019,TotalPopEst2019,WhiteNonHispanicPct2010,Type_2015_Update,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Perpov_1980_0711,HiCreativeClass2000,HiAmenity,Retirement_Destination_2015_Update
-7.614312146452,MD,4.186617217,8,39254,3.3,3.181353581,8.472658246,5.745783748,0.09126086,10.25224502,1.602540702,0.790319048,4.250930861,47.11068117,294.39,70.82465536,10.25,73604,26.23,29.98206619,20.22852019,8.157165371,31.4711157,4.825564193,1.192,2.006,5.32,113510,76.46,4,3,2,0,1,0,0
-8.54161259595698,MD,10.42731548,23.4,18924,6.1,2.365912484,4.881130125,4.433214655,0.068910072,13.63270931,1.366716435,5.650625933,5.030435282,51.78591938,82.79,64.96480973,13.83,17058,16.87,40.26263337,20.64134131,5.323015594,15.67592918,6.131250729,1.092,-2.641,-0.563,25616,52.12,4,2,2,0,0,0,0
-8.91416903412842,MD,3.303671048,9.2,47302,3.4,6.188215582,7.405752583,3.630270874,0,12.82323373,1.960346272,1.709019827,5.104719352,54.91762078,140.69,69.69387141,23.71,28080,19.52,25.63034188,18.64672365,7.745726496,38.60042735,6.073472898,0.425,0.694,-2.537,37181,78.95,5,6,3,0,1,0,1
-8.39901228250114,MD,5.281742571,11.1,29802,3.9,6.413061273,7.652810644,7.189951035,0.072926434,13.97359765,1.971990296,0.785819529,8.169248858,45.97193076,322.05,65.42675068,14.31,104471,22.91,36.35650085,20.8182175,8.239607164,21.44997176,4.9762701,1.114,1.143,1.11,151049,83.26,0,2,2,0,0,0,0
-7.67719776986936,MD,7.776896965,14.6,27622,4.6,4.233277133,6.179284568,4.749233176,0.144223933,14.8631904,1.643340308,1.79365821,8.580308355,52.00999411,263.68,59.17315408,13.01,64156,22.38,32.52540682,21.21859218,7.567491739,26.79094707,8.262537682,2.74,2.129,2.556,103609,66.61,0,2,2,0,1,0,0
-7.64545508659114,MD,4.732923659,10.4,35666,7.4,6.101821812,10.03244322,3.722652026,0.03743449,15.48540055,1.659595708,1.476582647,3.834955495,51.28109142,109.88,75.58139535,23.25,39149,18.31,31.60233978,21.64550819,7.195586094,30.41456998,4.520595764,0.569,4.94,-3.433,52276,80.33,5,2,2,0,1,0,1
-7.15821412249954,MD,11.00141568,18.9,29700,5.1,5.62655447,4.493000853,5.830472272,0.058057441,11.10473992,1.900485246,0.173455565,4.438168825,58.25454962,7671.52,47.34897415,11.73,424578,21.51,29.85623372,19.05256514,4.752483643,31.23454348,8.104441191,2.581,-7.422,3.005,593490,28.04,4,1,1,1,1,0,0
-7.15702209694423,MA,3.058797841,8,42578,3.9,5.89388532,9.696883179,3.612657626,0.051391863,15.30240305,1.749226743,0.93076374,3.94289793,54.00047585,548.32,79.53060705,24.96,165336,17.25,24.31049499,19.15251367,9.213359462,42.81886582,7.790724882,1.433,4.239,-5.587,212990,91.4,5,3,2,0,1,1,0
-7.8854893212355,MA,5.287789712,11.3,34287,3.5,4.997431227,6.988619557,3.423473915,0.224183831,12.73800072,1.880653247,0.938769791,8.04415176,57.07969424,141.58,68.87088296,18.58,92946,19.53,29.85604545,18.12665419,9.729305188,33.3892798,6.444772556,1.806,-1.969,-2.885,124944,90.63,5,3,2,0,1,0,0
-6.75272871062599,MA,5.05277023,10.8,34226,3.7,5.683397901,7.174460698,4.276661656,0.05080763,16.17552625,1.606085625,0.634742539,11.14345393,49.0399475,991.3,62.49572981,14.2,390230,22.33,29.93567896,17.95120826,9.069010584,27.95274582,12.93099901,2.173,2.243,0.679,565217,85.6,0,1,1,0,1,0,0
-9.76042516969429,MA,5.294117647,7.7,43822,4.1,6.552280055,16.06402579,3.74251497,0,10.72086596,1.151543068,2.72915707,3.754030401,50.62183326,160.15,77.43050102,16.32,12731,19.19,24.2793182,20.46971958,6.582358024,44.15206975,12.11806157,-0.018,3.615,0.972,17332,86.33,5,7,8,0,1,1,0
-6.45489444095893,MA,4.690237945,10.7,40697,3,6.750462895,5.686609376,3.860806714,0.018342302,13.25677488,2.185956241,0.340076195,10.60581649,53.3624662,1508.76,64.08448057,14.14,538981,23.16,25.18474677,16.53175158,8.182663211,39.35314974,16.68181772,5.319,3.593,2.252,789034,76.03,0,1,1,0,1,1,0
-6.96919240485234,MA,4.170432537,10.6,34202,2.7,3.97761073,6.221945811,3.785625439,0.100048672,12.59802066,2.08479801,2.228110973,9.729057379,54.68876751,102.06,69.33526774,15.24,53210,19.71,28.02292802,17.34260477,10.55252772,37.18473971,5.495171636,1.915,-0.383,-1.283,70180,92.44,0,4,5,0,1,0,0
-6.43534018834942,MA,7.400033001,16.7,29020,4.1,7.090665939,4.852823448,5.167953873,0.022674583,14.68989038,1.621001291,0.550668437,11.30721283,50.06825512,751.03,60.84460158,14.18,316312,23.71,29.47596044,19.01508637,9.644591416,27.16084119,8.636243488,4.764,-1.008,1.468,466372,67.71,0,2,2,0,1,0,0
-7.0393557305251,MA,6.844721933,11.1,33605,2.7,4.881235154,4.478622328,2.945368171,0.078384798,11.87292162,1.789786223,0.839667458,6.552256532,62.88004751,299.82,65.77516407,12.67,99377,16.93,23.60405325,14.81630558,9.486098393,46.49969309,8.484167809,3.807,2.039,-1.096,160830,86.19,4,2,2,0,1,0,0
-6.65653109759411,MA,3.90060419,7.3,49669,2.3,7.197197814,4.584348453,2.810398474,0.030111412,10.59419853,3.187817653,0.168578285,9.751877401,58.31542617,1837.92,62.39883873,13.11,1116442,21.32,19.5520233,12.4822427,5.898559889,55.19131312,21.03646458,6.878,3.321,3.578,1611699,76.53,0,1,1,0,1,0,0
